gameorder,game_id,lg_id,year_id,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,forecast
52839,200704300was,nba,2007,cle,cavaliers,97,1611.0167,1617.1353,52.893951,was,wizards,90,1431.0486,1424.9301,0.61309332
52840,200705010dal,nba,2007,gsw,warriors,112,1622.6206,1618.512,53.026073,dal,mavericks,118,1671.9615,1676.0702,0.29740715
52840,200705010dal,nba,2007,dal,mavericks,118,1671.9615,1676.0702,58.279396,gsw,warriors,112,1622.6206,1618.512,0.70259285
52841,200705010tor,nba,2007,njn,nets,96,1539.0807,1535.7472,44.698208,tor,raptors,98,1531.2505,1534.584,0.3703835
52841,200705010tor,nba,2007,tor,raptors,98,1531.2505,1534.584,44.577152,njn,nets,96,1539.0807,1535.7472,0.6296165
52842,200705020pho,nba,2007,lal,lakers,110,1475.3325,1473.0101,38.132137,pho,suns,119,1679.0236,1681.3459,0.14827615
52842,200705020pho,nba,2007,pho,suns,119,1679.0236,1681.3459,58.731903,lal,lakers,110,1475.3325,1473.0101,0.85172385
52843,200705020sas,nba,2007,sas,spurs,93,1681.3873,1687.1555,59.224117,den,nuggets,78,1588.0712,1582.303,0.75265396
52843,200705020sas,nba,2007,den,nuggets,78,1588.0712,1582.303,49.468185,sas,spurs,93,1681.3873,1687.1555,0.24734604
52844,200705030gsw,nba,2007,gsw,warriors,111,1618.512,1634.8004,54.567921,dal,mavericks,86,1676.0702,1659.7817,0.56077659
52844,200705030gsw,nba,2007,dal,mavericks,86,1676.0702,1659.7817,56.85001,gsw,warriors,111,1618.512,1634.8004,0.43922341
52845,200705030uta,nba,2007,hou,rockets,82,1590.4268,1581.8694,49.424633,uta,jazz,94,1567.7941,1576.3514,0.39046407
52845,200705030uta,nba,2007,uta,jazz,94,1567.7941,1576.3514,48.868687,hou,rockets,82,1590.4268,1581.8694,0.60953593
52846,200705040njn,nba,2007,njn,nets,98,1535.7472,1538.4275,44.976894,tor,raptors,97,1534.584,1531.9037,0.64160615
52846,200705040njn,nba,2007,tor,raptors,97,1534.584,1531.9037,44.297977,njn,nets,98,1535.7472,1538.4275,0.35839385
52847,200705050det,nba,2007,det,pistons,95,1652.4336,1665.1931,57.330208,chi,bulls,69,1645.7803,1633.0208,0.64884037
52847,200705050det,nba,2007,chi,bulls,69,1645.7803,1633.0208,54.401436,det,pistons,95,1652.4336,1665.1931,0.35115963
52848,200705050hou,nba,2007,uta,jazz,103,1576.3514,1585.2946,49.76812,hou,rockets,99,1581.8694,1572.9263,0.35265023
52848,200705050hou,nba,2007,hou,rockets,99,1581.8694,1572.9263,48.522064,uta,jazz,103,1576.3514,1585.2946,0.64734977
52849,200705060cle,nba,2007,njn,nets,77,1538.4275,1535.5133,44.67387,cle,cavaliers,81,1617.1353,1620.0494,0.26333147
52849,200705060cle,nba,2007,cle,cavaliers,81,1617.1353,1620.0494,53.173302,njn,nets,77,1538.4275,1535.5133,0.73666853
52850,200705060pho,nba,2007,pho,suns,106,1681.3459,1671.7208,57.902447,sas,spurs,111,1687.1555,1696.7806,0.63232493
52850,200705060pho,nba,2007,sas,spurs,111,1687.1555,1696.7806,60.025341,pho,suns,106,1681.3459,1671.7208,0.36767507
52851,200705070det,nba,2007,det,pistons,108,1665.1931,1674.9552,58.183094,chi,bulls,87,1633.0208,1623.2587,0.68153721
52851,200705070det,nba,2007,chi,bulls,87,1633.0208,1623.2587,53.479504,det,pistons,108,1665.1931,1674.9552,0.31846279
52852,200705070uta,nba,2007,uta,jazz,116,1585.2946,1590.4961,50.287277,gsw,warriors,112,1634.8004,1629.5989,0.57215959
52852,200705070uta,nba,2007,gsw,warriors,112,1634.8004,1629.5989,54.079933,uta,jazz,116,1585.2946,1590.4961,0.42784041
52853,200705080cle,nba,2007,njn,nets,92,1535.5133,1530.8677,44.189987,cle,cavaliers,102,1620.0494,1624.6951,0.25687486
52853,200705080cle,nba,2007,cle,cavaliers,102,1620.0494,1624.6951,53.616066,njn,nets,92,1535.5133,1530.8677,0.74312514
52854,200705080pho,nba,2007,sas,spurs,81,1696.7806,1684.6094,59.009186,pho,suns,101,1671.7208,1683.8921,0.39379436
52854,200705080pho,nba,2007,pho,suns,101,1671.7208,1683.8921,58.948414,sas,spurs,81,1696.7806,1684.6094,0.60620564
52855,200705090uta,nba,2007,uta,jazz,127,1590.4961,1598.6747,51.097198,gsw,warriors,117,1629.5989,1621.4203,0.58675158
52855,200705090uta,nba,2007,gsw,warriors,117,1629.5989,1621.4203,53.304283,uta,jazz,127,1590.4961,1598.6747,0.41324842
52856,200705100chi,nba,2007,det,pistons,81,1674.9552,1684.9149,59.035042,chi,bulls,74,1623.2587,1613.299,0.43093014
52856,200705100chi,nba,2007,chi,bulls,74,1623.2587,1613.299,52.524364,det,pistons,81,1674.9552,1684.9149,0.56906986
52857,200705110gsw,nba,2007,uta,jazz,105,1598.6747,1588.8198,50.120304,gsw,warriors,125,1621.4203,1631.2751,0.33035487
52857,200705110gsw,nba,2007,gsw,warriors,125,1621.4203,1631.2751,54.237652,uta,jazz,105,1598.6747,1588.8198,0.66964513
52858,200705120njn,nba,2007,njn,nets,96,1530.8677,1541.6302,45.309418,cle,cavaliers,85,1624.6951,1613.9325,0.50888216
52858,200705120njn,nba,2007,cle,cavaliers,85,1624.6951,1613.9325,52.585541,njn,nets,96,1530.8677,1541.6302,0.49111784
52859,200705120sas,nba,2007,sas,spurs,108,1684.6094,1690.1991,59.479408,pho,suns,101,1683.8921,1678.3024,0.64101571
52859,200705120sas,nba,2007,pho,suns,101,1683.8921,1678.3024,58.471489,sas,spurs,108,1684.6094,1690.1991,0.35898429
52860,200705130chi,nba,2007,chi,bulls,102,1613.299,1625.3904,53.682056,det,pistons,87,1684.9149,1672.8235,0.5407573
52860,200705130chi,nba,2007,det,pistons,87,1684.9149,1672.8235,57.998344,chi,bulls,102,1613.299,1625.3904,0.4592427
52861,200705130gsw,nba,2007,gsw,warriors,101,1631.2751,1611.1199,52.313519,uta,jazz,115,1588.8198,1608.9751,0.69424456
52861,200705130gsw,nba,2007,uta,jazz,115,1588.8198,1608.9751,52.105358,gsw,warriors,101,1631.2751,1611.1199,0.30575544
52862,200705140njn,nba,2007,njn,nets,85,1541.6302,1536.2958,44.755276,cle,cavaliers,87,1613.9325,1619.267,0.53977603
52862,200705140njn,nba,2007,cle,cavaliers,87,1613.9325,1619.267,53.098415,njn,nets,85,1541.6302,1536.2958,0.46022397
52863,200705140sas,nba,2007,pho,suns,104,1678.3024,1689.4398,59.415886,sas,spurs,98,1690.1991,1679.0616,0.34431368
52863,200705140sas,nba,2007,sas,spurs,98,1690.1991,1679.0616,58.536613,pho,suns,104,1678.3024,1689.4398,0.65568632
52864,200705150det,nba,2007,chi,bulls,108,1625.3904,1647.7136,55.760647,det,pistons,92,1672.8235,1650.5002,0.29970706
52864,200705150det,nba,2007,det,pistons,92,1672.8235,1650.5002,56.014408,chi,bulls,108,1625.3904,1647.7136,0.70029294
52865,200705150uta,nba,2007,gsw,warriors,87,1611.1199,1602.8751,51.509975,uta,jazz,100,1608.9751,1617.2198,0.36278427
52865,200705150uta,nba,2007,uta,jazz,100,1608.9751,1617.2198,52.902077,gsw,warriors,87,1611.1199,1602.8751,0.63721573
52866,200705160cle,nba,2007,cle,cavaliers,72,1619.267,1600.1394,51.24139,njn,nets,83,1536.2958,1555.4233,0.74140173
52866,200705160cle,nba,2007,njn,nets,83,1536.2958,1555.4233,46.73439,cle,cavaliers,72,1619.267,1600.1394,0.25859827
