pts,elo_i,elo_n,win_equiv,opp_pts,opp_elo_i,opp_elo_n,forecast
95,1393.8756,1403.1063,31.128275,85,1463.0256,1453.7949,0.54428035
92,1580.2368,1571.8025,48.539322,97,1428.214,1436.6483,0.57431233
97,1428.214,1436.6483,34.504181,92,1580.2368,1571.8025,0.42568767
110,1464.1693,1477.7493,38.762527,105,1592.7075,1579.1276,0.21155602
105,1592.7075,1579.1276,49.279072,110,1464.1693,1477.7493,0.78844398
87,1444.0669,1434.1711,34.251118,103,1631.6221,1641.5178,0.37659922
103,1631.6221,1641.5178,55.311111,87,1444.0669,1434.1711,0.62340081
107,1320.6425,1345.4203,25.661932,94,1670.9791,1646.2013,0.19138223
94,1670.9791,1646.2013,55.740715,107,1320.6425,1345.4203,0.80861777
90,1448.6975,1456.6656,36.566132,89,1587.0626,1579.0945,0.20227432
89,1587.0626,1579.0945,49.275745,90,1448.6975,1456.6656,0.79772568
130,1549.1532,1550.5599,46.366848,129,1415.3677,1413.9609,0.79343849
129,1415.3677,1413.9609,32.207809,130,1549.1532,1550.5599,0.20656151
86,1586.5571,1574.7747,48.840122,89,1416.179,1427.9614,0.82583934
89,1416.179,1427.9614,33.619102,86,1586.5571,1574.7747,0.17416066
91,1567.3992,1564.2593,47.772202,96,1652.603,1655.7429,0.25614184
96,1652.603,1655.7429,56.604462,91,1567.3992,1564.2593,0.74385816
127,1657.3497,1664.994,57.426735,92,1503.0912,1495.4469,0.81208724
92,1503.0912,1495.4469,40.616718,127,1657.3497,1664.994,0.18791276
110,1664.6998,1672.6484,58.095432,100,1496.9581,1489.0095,0.59627128
100,1496.9581,1489.0095,39.941689,110,1664.6998,1672.6484,0.40372872
95,1354.2501,1348.0859,25.903027,100,1489.0095,1495.1737,0.45014343
100,1489.0095,1495.1737,40.588062,95,1354.2501,1348.0859,0.54985654
112,1518.2147,1501.0504,41.204487,123,1477.7493,1494.9136,0.69180769
123,1477.7493,1494.9136,40.56078,112,1518.2147,1501.0504,0.30819231
113,1646.2013,1639.9178,55.163521,116,1513.3167,1519.6001,0.54718399
116,1513.3167,1519.6001,43.1483,113,1646.2013,1639.9178,0.45281601
97,1491.7999,1468.7886,37.826725,107,1295.7246,1318.736,0.84610158
107,1295.7246,1318.736,23.318096,97,1491.7999,1468.7886,0.15389842
103,1455.817,1436.681,34.507526,112,1318.736,1337.8719,0.79653031
112,1318.736,1337.8719,24.985924,103,1455.817,1436.681,0.20346969
111,1427.9614,1431.1432,33.942505,106,1345.4203,1342.2385,0.7409268
106,1345.4203,1342.2385,25.375767,111,1427.9614,1431.1432,0.2590732
95,1436.6483,1431.7756,34.006897,130,1672.6484,1677.5211,0.12628949
130,1672.6484,1677.5211,58.515488,95,1436.6483,1431.7756,0.87371051
137,1550.5599,1573.9114,48.752842,87,1571.8025,1548.451,0.61143881
87,1571.8025,1548.451,46.149273,137,1550.5599,1573.9114,0.38856119
94,1495.4469,1483.4476,39.358913,100,1456.6656,1468.6649,0.68973678
100,1456.6656,1468.6649,37.813831,94,1495.4469,1483.4476,0.31026322
94,1403.1063,1400.8873,30.909307,107,1655.7429,1657.9619,0.11609513
107,1655.7429,1657.9619,56.803078,94,1403.1063,1400.8873,0.88390487
93,1664.994,1670.0385,57.868626,86,1641.5178,1636.4734,0.67057484
86,1641.5178,1636.4734,54.844368,93,1664.994,1670.0385,0.32942516
102,1348.0859,1338.1626,25.011768,109,1400.8873,1410.8107,0.56750947
109,1400.8873,1410.8107,31.893108,102,1348.0859,1338.1626,0.43249053
106,1494.9136,1483.9248,39.40889,116,1579.0945,1590.0833,0.52274978
116,1579.0945,1590.0833,50.374928,106,1494.9136,1483.9248,0.47725022
88,1310.1476,1308.7252,22.472841,95,1574.7747,1576.197,0.10919774
95,1574.7747,1576.197,48.983765,88,1310.1476,1308.7252,0.89080226
93,1434.1711,1427.6431,33.586792,110,1519.6001,1526.1282,0.25589502
110,1519.6001,1526.1282,43.830524,93,1434.1711,1427.6431,0.74410498
88,1564.2593,1553.3633,46.65559,101,1495.1737,1506.0697,0.45562762
101,1495.1737,1506.0697,41.730915,88,1564.2593,1553.3633,0.54437238
89,1468.7886,1451.3109,36.011871,117,1413.9609,1431.4386,0.4353556
117,1413.9609,1431.4386,33.972576,89,1468.7886,1451.3109,0.5646444
95,1436.681,1440.265,34.874569,88,1342.2385,1338.6545,0.75385904
88,1342.2385,1338.6545,25.055546,95,1436.681,1440.265,0.24614096
93,1431.7756,1420.3977,32.854172,103,1506.0697,1517.4476,0.53692645
