game_id,year_id,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,forecast
200703250ind,2007,chi,bulls,92,1566.5155,1570.7183,48.298019,ind,pacers,90,1429.9806,1425.7778,0.55238503
200703250ind,2007,ind,pacers,90,1429.9806,1425.7778,33.266705,chi,bulls,92,1566.5155,1570.7183,0.44761497
200703250lal,2007,gsw,warriors,113,1488.7001,1485.5004,39.438374,lal,lakers,115,1490.1716,1493.3713,0.35798579
200703250lal,2007,lal,lakers,115,1490.1716,1493.3713,40.263325,gsw,warriors,113,1488.7001,1485.5004,0.64201421
200703250mil,2007,mil,bucks,95,1423.8707,1411.6526,31.84803,det,pistons,121,1640.1465,1652.3646,0.33864531
200703250mil,2007,det,pistons,121,1640.1465,1652.3646,56.183453,mil,bucks,95,1423.8707,1411.6526,0.66135466
200703250min,2007,por,trailblazers,93,1422.2183,1419.535,32.637112,min,timberwolves,94,1423.1287,1425.8119,0.35872853
200703250min,2007,min,timberwolves,94,1423.1287,1425.8119,33.270153,por,trailblazers,93,1422.2183,1419.535,0.64127147
200703250nok,2007,hou,rockets,94,1625.3495,1610.3507,52.238941,nok,pelicans,106,1450.5975,1465.5963,0.6059469
200703250nok,2007,nok,pelicans,106,1450.5975,1465.5963,37.359386,hou,rockets,94,1625.3495,1610.3507,0.39405307
200703250sac,2007,pho,suns,100,1647.287,1635.7078,54.652607,sac,kings,107,1450.9714,1462.5507,0.63516438
200703250sac,2007,sac,kings,107,1450.9714,1462.5507,37.042652,pho,suns,100,1647.287,1635.7078,0.36483562
200703250sea,2007,sas,spurs,120,1690.0283,1705.717,60.753036,sea,thunder,79,1455.6047,1439.916,0.68434328
200703250sea,2007,sea,thunder,79,1455.6047,1439.916,34.706169,sas,spurs,120,1690.0283,1705.717,0.31565672
200703260bos,2007,bos,celtics,95,1370.4434,1381.5449,28.903679,tor,raptors,87,1528.6019,1517.5004,0.41707617
200703260bos,2007,tor,raptors,87,1528.6019,1517.5004,42.793129,bos,celtics,95,1370.4434,1381.5449,0.58292383
200703260chi,2007,chi,bulls,100,1570.7183,1574.214,48.652512,por,trailblazers,89,1419.535,1416.0393,0.80937082
200703260chi,2007,por,trailblazers,89,1419.535,1416.0393,32.286331,chi,bulls,100,1570.7183,1574.214,0.19062918
200703260det,2007,den,nuggets,109,1534.7058,1532.3121,44.340542,det,pistons,113,1652.3646,1654.7583,0.2221908
200703260det,2007,det,pistons,113,1652.3646,1654.7583,56.399609,den,nuggets,109,1534.7058,1532.3121,0.7778092
200703260gsw,2007,gsw,warriors,89,1485.5004,1469.9786,37.815884,sas,spurs,126,1705.717,1721.2388,0.33358324
200703260gsw,2007,sas,spurs,126,1705.717,1721.2388,61.979176,gsw,warriors,89,1485.5004,1469.9786,0.66641676
200703260hou,2007,mil,bucks,87,1411.6526,1407.7753,31.462448,hou,rockets,106,1610.3507,1614.228,0.15194273
200703260hou,2007,hou,rockets,106,1610.3507,1614.228,52.614059,mil,bucks,87,1411.6526,1407.7753,0.84805727
200703260mia,2007,atl,hawks,89,1389.2921,1384.3147,29.169477,mia,heat,106,1527.6256,1532.603,0.20230371
200703260mia,2007,mia,heat,106,1527.6256,1532.603,44.37085,atl,hawks,89,1389.2921,1384.3147,0.79769629
200703260nyk,2007,orl,magic,94,1462.2026,1471.0211,37.924595,nyk,knicks,89,1427.9951,1419.1766,0.40643275
200703260nyk,2007,nyk,knicks,89,1427.9951,1419.1766,32.601089,orl,magic,94,1462.2026,1471.0211,0.59356725
200703260pho,2007,pho,suns,105,1635.7078,1637.8368,54.850811,mem,grizzlies,87,1338.2383,1336.1093,0.90787983
200703260pho,2007,mem,grizzlies,87,1338.2383,1336.1093,24.715033,pho,suns,105,1635.7078,1637.8368,0.092120171
200703260uta,2007,was,wizards,97,1504.3217,1500.6726,41.029118,uta,jazz,103,1578.1942,1581.8433,0.26876628
200703260uta,2007,uta,jazz,103,1578.1942,1581.8433,49.422009,was,wizards,97,1504.3217,1500.6726,0.73123372
200703270ind,2007,ind,pacers,94,1425.7778,1416.5419,32.336678,cle,cavaliers,105,1571.4156,1580.6516,0.43469706
200703270ind,2007,cle,cavaliers,105,1571.4156,1580.6516,49.302208,ind,pacers,94,1425.7778,1416.5419,0.56530297
200703270lal,2007,mem,grizzlies,88,1336.1093,1346.0227,25.599577,lal,lakers,86,1493.3713,1483.4579,0.18528855
200703270lal,2007,lal,lakers,86,1493.3713,1483.4579,39.22448,mem,grizzlies,88,1336.1093,1346.0227,0.81471145
200703270min,2007,sea,thunder,114,1439.916,1452.0276,35.952209,min,timberwolves,106,1425.8119,1413.7003,0.37884432
200703270min,2007,min,timberwolves,106,1425.8119,1413.7003,32.052364,sea,thunder,114,1439.916,1452.0276,0.62115568
200703270nok,2007,nok,pelicans,89,1465.5963,1459.6967,36.746284,dal,mavericks,105,1763.0244,1768.9241,0.24296585
200703270nok,2007,dal,mavericks,105,1763.0244,1768.9241,65.438423,nok,pelicans,89,1465.5963,1459.6967,0.75703418
200703280bos,2007,bos,celtics,105,1381.5449,1390.9052,29.806265,orl,magic,96,1471.0211,1461.6609,0.51514035
200703280bos,2007,orl,magic,96,1471.0211,1461.6609,36.950211,bos,celtics,105,1381.5449,1390.9052,0.48485965
200703280cha,2007,atl,hawks,87,1384.3147,1375.9982,28.374743,cha,hornets,101,1391.1403,1399.4568,0.35093373
200703280cha,2007,cha,hornets,101,1391.1403,1399.4568,30.641285,atl,hawks,87,1384.3147,1375.9982,0.64906627
200703280dal,2007,dal,mavericks,105,1768.9241,1769.3879,65.469772,mil,bucks,103,1407.7753,1407.3114,0.93429309
200703280dal,2007,mil,bucks,103,1407.7753,1407.3114,31.416437,dal,mavericks,105,1768.9241,1769.3879,0.065706909
200703280den,2007,sea,thunder,100,1452.0276,1461.6757,36.951744,den,nuggets,97,1532.3121,1522.6641,0.26157445
200703280den,2007,den,nuggets,97,1532.3121,1522.6641,43.333401,sea,thunder,100,1452.0276,1461.6757,0.73842555
200703280lac,2007,hou,rockets,92,1614.228,1621.3871,53.301113,lac,clippers,87,1518.9108,1511.7517,0.4932614
200703280lac,2007,lac,clippers,87,1518.9108,1511.7517,42.190929,hou,rockets,92,1614.228,1621.3871,0.5067386
200703280njn,2007,njn,nets,118,1460.1821,1470.3478,37.854374,ind,pacers,94,1416.5419,1406.3762,0.69569051
200703280njn,2007,ind,pacers,94,1416.5419,1406.3762,31.323753,njn,nets,118,1460.1821,1470.3478,0.30430949
200703280nyk,2007,cle,cavaliers,93,1580.6516,1572.8353,48.512844,nyk,knicks,97,1419.1766,1426.9929,0.58755779
200703280nyk,2007,nyk,knicks,97,1419.1766,1426.9929,33.389702,cle,cavaliers,93,1580.6516,1572.8353,0.41244224
200703280sas,2007,sas,spurs,92,1721.2388,1722.3271,62.063332,nok,pelicans,88,1459.6967,1458.6083,0.88906282
200703280sas,2007,nok,pelicans,88,1459.6967,1458.6083,36.633381,sas,spurs,92,1721.2388,1722.3271,0.11093718
200703280tor,2007,tor,raptors,96,1517.5004,1526.2247,43.705486,mia,heat,83,1532.603,1523.8787,0.61980212
200703280tor,2007,mia,heat,83,1532.603,1523.8787,43.460369,tor,raptors,96,1517.5004,1526.2247,0.38019788
200703280uta,2007,uta,jazz,108,1581.8433,1584.0847,49.646938,min,timberwolves,102,1413.7003,1411.4589,0.82398093
200703280uta,2007,min,timberwolves,102,1413.7003,1411.4589,31.828724,uta,jazz,108,1581.8433,1584.0847,0.17601907
200703280was,2007,was,wizards,111,1500.6726,1503.4994,41.325626,phi,sixers,108,1440.9877,1438.1609,0.71488321
200703280was,2007,phi,sixers,108,1440.9877,1438.1609,34.526527,was,wizards,111,1500.6726,1503.4994,0.28511679
200703290chi,2007,chi,bulls,83,1574.214,1578.7057,49.106266,det,pistons,81,1654.7583,1650.2666,0.52796978
200703290chi,2007,det,pistons,81,1654.7583,1650.2666,55.993183,chi,bulls,83,1574.214,1578.7057,0.47203022
200703290gsw,2007,gsw,warriors,124,1469.9786,1478.8551,38.742844,pho,suns,119,1637.8368,1628.9603,0.40356734
200703290gsw,2007,pho,suns,119,1637.8368,1628.9603,54.019737,gsw,warriors,124,1469.9786,1478.8551,0.59643269
200703290por,2007,por,trailblazers,92,1416.0393,1405.3983,31.226946,mem,grizzlies,96,1346.0227,1356.6637,0.72684902
200703290por,2007,mem,grizzlies,96,1346.0227,1356.6637,26.567947,por,trailblazers,92,1416.0393,1405.3983,0.27315098
200703300cha,2007,mil,bucks,81,1407.3114,1397.6115,30.460291,cha,hornets,97,1399.4568,1409.1567,0.37041628
200703300cha,2007,cha,hornets,97,1399.4568,1409.1567,31.59963,mil,bucks,81,1407.3114,1397.6115,0.62958372
200703300dal,2007,nyk,knicks,103,1426.9929,1426.4744,33.337193,dal,mavericks,105,1769.3879,1769.9065,0.072653174
200703300dal,2007,dal,mavericks,105,1769.3879,1769.9065,65.504768,nyk,knicks,103,1426.9929,1426.4744,0.92734683
200703300det,2007,njn,nets,105,1470.3478,1468.4342,37.654903,det,pistons,110,1650.2666,1652.1802,0.16640234
200703300det,2007,det,pistons,110,1650.2666,1652.1802,56.166756,njn,nets,105,1470.3478,1468.4342,0.83359766
200703300lal,2007,hou,rockets,107,1621.3871,1626.223,53.76099,lal,lakers,104,1483.4579,1478.6219,0.55436873
200703300lal,2007,lal,lakers,104,1483.4579,1478.6219,38.71846,hou,rockets,107,1621.3871,1626.223,0.4456313
200703300min,2007,mia,heat,92,1523.8787,1536.7333,44.800777,min,timberwolves,77,1411.4589,1398.6042,0.5178659
200703300min,2007,min,timberwolves,77,1411.4589,1398.6042,30.557611,mia,heat,92,1523.8787,1536.7333,0.48213407
200703300orl,2007,ind,pacers,87,1406.3762,1401.6871,30.860619,orl,magic,95,1461.6609,1466.35,0.29030764
200703300orl,2007,orl,magic,95,1461.6609,1466.35,37.437832,ind,pacers,87,1406.3762,1401.6871,0.70969236
200703300phi,2007,bos,celtics,82,1390.9052,1386.7556,29.404621,phi,sixers,88,1438.1609,1442.3104,0.29992139
200703300phi,2007,phi,sixers,88,1438.1609,1442.3104,34.951641,bos,celtics,82,1390.9052,1386.7556,0.70007861
200703300pho,2007,pho,suns,125,1628.9603,1634.8367,54.571304,den,nuggets,108,1522.6641,1516.7877,0.7663002
